model,dataset,metric,rmin,rmax,is_canon,n,raw_mean,raw_std,norm_mean,norm_std,norm_skew,norm_ent,pct_int,pct_min,pct_max,n_uniq
gemma3_27b,summeval,rel,1,5,True,1600,3.8075,0.8584906813705085,0.701875,0.2146226703426271,-0.7434185233786688,1.2162518913419855,99.38,0.56,17.69,8
gemma3_27b,summeval,rel,0,10,False,1600,7.8259375,1.3154784285930918,0.7825937500000001,0.1315478428593092,-1.908393255684793,1.4252109291685064,99.69,0.0,0.12,10
gemma3_27b,summeval,rel,0,100,False,1600,83.290625,12.521228458477028,0.8329062500000001,0.1252122845847702,-2.284499166216839,1.8410628503296724,100.0,0.06,0.06,14
gemma3_27b,newsroom,coh,0,1,False,420,0.3686904761904762,0.264713590787085,0.3686904761904762,0.264713590787085,0.5987126271915519,2.194986398981494,10.24,7.62,2.62,14
gemma3_27b,newsroom,coh,1,3,False,420,1.3964285714285714,0.6079721227497329,0.1982142857142857,0.3039860613748664,1.3940686553333923,1.014377283504856,92.14,64.05,7.38,5
gemma3_27b,newsroom,coh,1,5,True,420,1.9678571428571427,1.0936135726382077,0.2419642857142857,0.2734033931595518,1.1578930115520258,1.3388495631709227,99.29,41.43,4.05,6
gemma3_27b,newsroom,coh,0,10,False,420,3.591904761904761,2.5087999769338007,0.3591904761904762,0.25087999769338,0.6294840303813259,1.9535972913428787,99.52,3.1,0.0,11
gemma3_27b,newsroom,coh,0,100,False,420,39.72380952380952,28.669793374808183,0.3972380952380951,0.2866979337480818,0.2771568466997927,2.3845183510083072,100.0,7.14,0.0,16
gemma3_27b,newsroom,flu,0,1,False,412,0.4904126213592233,0.2214779890791103,0.4904126213592233,0.2214779890791103,-0.0296001236888929,1.984109128290196,0.0,0.0,0.0,10
gemma3_27b,newsroom,flu,1,3,False,403,1.617866004962779,0.4607453363016731,0.3089330024813895,0.2303726681508365,-0.048346209819983,1.4829877251178396,69.23,28.54,0.99,8
gemma3_27b,newsroom,flu,1,5,True,409,2.3337408312958434,0.905962828579635,0.3334352078239608,0.2264907071449087,0.3725963381000258,1.5486595616909764,90.95,15.89,0.0,7
gemma3_27b,newsroom,flu,0,10,False,420,4.814761904761905,2.1944890262126626,0.4814761904761904,0.2194489026212662,-0.2599715090719253,1.9562630649790815,95.0,0.0,0.24,12
gemma3_27b,newsroom,flu,0,100,False,420,54.95,24.476030548856805,0.5495000000000001,0.244760305488568,-0.4693261500613576,2.28826532309927,100.0,3.1,0.0,15
gemma3_27b,newsroom,inf,0,1,False,419,0.552744630071599,0.3989076483028436,0.552744630071599,0.3989076483028436,-0.1138148523796689,2.1194527042865032,49.4,14.8,34.61,17
gemma3_27b,newsroom,inf,1,3,False,420,1.9214285714285717,0.9237696358595332,0.4607142857142857,0.4618848179297665,0.1561088811089731,0.998007240051248,100.0,46.9,39.05,3
gemma3_27b,newsroom,inf,1,5,True,419,2.947494033412888,1.7443019192574605,0.4868735083532219,0.436075479814365,0.1074200638178551,1.3826797539313147,100.0,33.65,36.04,5
gemma3_27b,newsroom,inf,0,10,False,419,5.47255369928401,4.005495737598318,0.547255369928401,0.4005495737598318,-0.1322980842677821,2.0171465379167497,100.0,12.65,27.92,10
gemma3_27b,newsroom,inf,0,100,False,419,59.13126491646778,39.280211771639,0.5913126491646777,0.39280211771639,-0.3816451415580632,2.288722301390943,100.0,15.27,24.82,16
gemma3_27b,newsroom,rel,0,1,False,420,0.4285714285714285,0.3096355109800294,0.4285714285714285,0.3096355109800294,0.2710496843153721,2.3851266560992257,18.81,12.62,6.19,14
gemma3_27b,newsroom,rel,1,3,False,420,1.5666666666666669,0.7214953607304453,0.2833333333333333,0.3607476803652226,0.8742000919156586,1.019078306052123,98.57,56.67,13.81,5
gemma3_27b,newsroom,rel,1,5,True,420,2.3261904761904764,1.3000109017509052,0.331547619047619,0.3250027254377263,0.733201658593125,1.4722453133031077,99.52,32.38,8.57,6
gemma3_27b,newsroom,rel,0,10,False,420,4.410952380952381,3.059539966605476,0.4410952380952381,0.3059539966605475,0.1724124340556635,2.1438287702555168,99.52,6.9,0.71,12
gemma3_27b,newsroom,rel,0,100,False,420,48.44761904761905,32.86639069305008,0.4844761904761905,0.3286639069305007,-0.0838685807647474,2.526812375492244,100.0,12.14,0.24,21
gemma3_27b,tc,coh,0,1,True,360,0.6109722222222221,0.2636240996097696,0.6109722222222221,0.2636240996097696,-0.5584962741416977,2.0661735744860907,5.83,0.56,5.28,11
gemma3_27b,tc,coh,1,3,False,360,1.8527777777777776,0.6743252228508433,0.4263888888888889,0.3371626114254216,0.2056286149466412,1.0721811142670623,98.33,30.56,16.67,4
gemma3_27b,tc,coh,1,5,False,360,2.9166666666666665,1.1589027377461645,0.4791666666666667,0.2897256844365411,0.1090132434582721,1.4891472134438246,100.0,10.0,8.61,5
gemma3_27b,tc,coh,0,10,False,360,5.919444444444444,2.548781783567772,0.5919444444444445,0.2548781783567772,-0.5894624488473597,1.829822712669832,100.0,0.0,0.83,9
gemma3_27b,tc,coh,0,100,False,360,66.00277777777778,25.82575142621014,0.6600277777777778,0.2582575142621014,-0.905412705074618,2.2450150956962944,100.0,0.28,0.28,16
gemma3_27b,tc,eng,0,1,False,360,0.4480555555555555,0.2339197327247632,0.4480555555555555,0.2339197327247632,0.0258602323320105,1.7564182704129596,0.83,0.83,0.0,9
